,TimeStamp [us], angular velocity[rad/s] 
0,8002883,0
0.010916,8013799,0.15
0.02156,8024443,0.75
0.032164,8035047,1.35
0.042766,8045649,1.35
0.053375,8056258,2.1
0.063986,8066869,2.55
0.074582,8077465,2.85
0.085205,8088088,3.3
0.095838,8098721,3.75
0.106468,8109351,3.9
0.117067,8119950,4.05
0.127666,8130549,4.2
0.13827,8141153,4.5
0.148891,8151774,4.95
0.159522,8162405,5.25
0.170154,8173037,4.95
0.180765,8183648,5.25
0.191355,8194238,5.55
0.201993,8204876,5.85
0.212588,8215471,6
0.223192,8226075,5.85
0.233789,8236672,6
0.244418,8247301,6.45
0.25505,8257933,6.45
0.265677,8268560,6.45
0.276307,8279190,6.6
0.286905,8289788,7.2
0.297504,8300387,6.6
0.308129,8311012,6.9
0.318758,8321641,6.9
0.329357,8332240,7.2
0.33999,8342873,6.9
0.350587,8353470,7.35
0.361208,8364091,7.35
0.371836,8374719,7.2
0.382436,8385319,7.35
0.393064,8395947,7.5
0.403661,8406544,7.35
0.414287,8417170,7.5
0.424914,8427797,7.5
0.43551,8438393,7.65
0.446113,8448996,7.35
0.456715,8459598,7.65
0.467338,8470221,7.95
0.477934,8480817,7.65
0.48853,8491413,7.95
0.499156,8502039,7.95
0.509786,8512669,7.8
0.520386,8523269,7.95
0.531013,8533896,8.25
0.541607,8544490,7.8
0.552235,8555118,7.8
0.56286,8565743,8.25
0.573455,8576338,7.8
0.584063,8586946,7.95
0.594663,8597546,8.7
0.605284,8608167,8.25
0.615914,8618797,8.4
0.626513,8629396,8.7
0.637113,8639996,8.1
0.647712,8650595,8.25
0.658319,8661202,8.7
0.668919,8671802,8.25
0.679537,8682420,8.4
0.690141,8693024,8.7
0.70074,8703623,8.25
0.711365,8714248,8.55
0.721996,8724879,8.7
0.732593,8735476,8.25
0.743221,8746104,8.25
0.753817,8756700,8.4
0.764442,8767325,8.1
0.775039,8777922,8.4
0.785637,8788520,8.4
0.796259,8799142,8.1
0.806886,8809769,8.55
0.817486,8820369,8.4
0.828085,8830968,8.25
0.838692,8841575,8.7
0.849298,8852181,8.25
0.859895,8862778,8.25
0.870522,8873405,8.55
0.881122,8884005,8.25
0.891717,8894600,8.4
0.902325,8905208,8.7
0.912922,8915805,8.25
0.923548,8926431,8.55
0.934143,8937026,8.7
0.944743,8947626,8.4
0.955364,8958247,8.55
0.965993,8968876,8.55
0.976624,8979507,8.4
0.987221,8990104,8.85
0.997819,9000702,8.55
1.008445,9011328,8.85
1.019041,9021924,8.85
1.029637,9032520,8.7
1.040259,9043142,8.7
1.050891,9053774,8.85
1.061491,9064374,8.4
1.072122,9075005,8.55
1.082719,9085602,8.7
1.093325,9096208,8.4
1.103924,9106807,8.4
1.114533,9117416,8.85
1.125182,9128065,8.4
1.135809,9138692,8.55
1.146409,9149292,8.55
1.157012,9159895,8.25
1.167609,9170492,8.55
1.17824,9181123,8.55
1.188862,9191745,8.4
1.199462,9202345,8.7
1.210062,9212945,8.4
1.220667,9223550,8.7
1.23129,9234173,8.85
1.241899,9244782,8.4
1.252525,9255408,8.55
1.26314,9266023,8.85
1.273764,9276647,8.85
1.284389,9287272,8.7
1.29499,9297873,8.85
1.305588,9308471,8.55
1.316211,9319094,9
1.326839,9329722,9
1.337437,9340320,8.7
1.348036,9350919,9
1.358656,9361539,8.85
1.369252,9372135,8.4
1.379855,9382738,8.85
1.390485,9393368,8.85
1.40109,9403973,8.55
1.411694,9414577,9.15
1.422321,9425204,8.55
1.432921,9435804,8.7
1.443513,9446396,9.15
1.454114,9456997,8.55
1.464738,9467621,8.7
1.47537,9478253,8.7
1.485982,9488865,8.55
1.496602,9499485,8.7
1.507202,9510085,8.55
1.517804,9520687,8.85
1.528432,9531315,8.85
1.539036,9541919,8.55
1.549655,9552538,8.55
1.560255,9563138,8.85
1.570855,9573738,8.4
1.581453,9584336,8.55
1.592083,9594966,8.85
1.602707,9605590,8.55
1.613307,9616190,8.7
1.623908,9626791,8.85
1.634531,9637414,8.7
1.645142,9648025,8.7
1.655739,9658622,8.55
1.666369,9669252,8.55
1.676978,9679861,8.85
1.687604,9690487,8.4
1.698199,9701082,8.7
1.708794,9711677,9.3
1.719417,9722300,8.55
1.730048,9732931,9
1.740644,9743527,9.15
1.751264,9754147,8.55
1.761875,9764758,9
1.772498,9775381,8.85
1.783092,9785975,8.4
1.793696,9796579,8.85
1.80432,9807203,8.55
1.814922,9817805,8.55
1.825518,9828401,8.85
1.836118,9839001,8.4
1.846721,9849604,8.55
1.857326,9860209,8.85
1.867926,9870809,8.25
1.87855,9881433,8.55
1.889153,9892036,8.55
1.899779,9902662,8.4
1.910412,9913295,8.7
1.921015,9923898,8.85
1.931613,9934496,8.55
1.94224,9945123,8.7
1.952869,9955752,8.7
1.963467,9966350,8.4
1.974093,9976976,8.4
1.984693,9987576,8.7
1.995301,9998184,8.7
2.0059,10008783,9.15
2.016527,10019410,8.85
2.027125,10030008,9.15
2.037722,10040605,9
2.048341,10051224,8.85
2.058941,10061824,9.15
2.069539,10072422,8.85
2.080163,10083046,8.7
2.090769,10093652,9.3
2.101394,10104277,8.7
2.111999,10114882,9.15
2.122661,10125544,9.3
2.133289,10136172,8.85
2.143922,10146805,9
2.154515,10157398,8.7
2.165121,10168004,8.55
2.175718,10178601,8.85
2.186327,10189210,8.55
2.196922,10199805,8.85
2.20752,10210403,9
2.218141,10221024,8.7
2.228767,10231650,8.85
2.239401,10242284,9
2.25003,10252913,8.55
2.260625,10263508,8.85
2.271251,10274134,8.85
2.281851,10284734,8.55
2.292462,10295345,8.85
2.303063,10305946,8.85
2.313668,10316551,8.85
2.324275,10327158,9.15
2.334873,10337756,8.85
2.345501,10348384,8.7
2.356099,10358982,9.15
2.3667,10369583,8.7
2.377301,10380184,8.7
2.387901,10390784,9.3
2.398528,10401411,8.7
2.409129,10412012,9.15
2.41979,10422673,9
2.430389,10433272,8.85
2.440997,10443880,9.15
2.4516,10454483,8.7
2.462267,10465150,8.7
2.472892,10475775,9.15
2.483489,10486372,8.55
2.494096,10496979,8.85
2.504695,10507578,8.85
2.51532,10518203,8.85
2.525924,10528807,9
2.536519,10539402,8.7
2.547118,10550001,8.7
2.557718,10560601,9.15
2.568344,10571227,8.4
2.578943,10581826,8.85
2.589546,10592429,9.15
2.600144,10603027,8.55
2.610746,10613629,9.15
2.621356,10624239,9
2.63196,10634843,8.7
2.642565,10645448,9.15
2.653192,10656075,8.7
2.663803,10666686,8.7
2.674427,10677310,9.3
2.685058,10687941,8.7
2.695684,10698567,9
2.706283,10709166,9.3
2.716884,10719767,9
2.727502,10730385,9.3
2.738104,10740987,9
2.74873,10751613,9
2.759377,10762260,9.3
2.77001,10772893,9
2.780633,10783516,9
2.791235,10794118,9.3
2.80186,10804743,8.85
2.812486,10815369,9.45
2.823115,10825998,9
2.83372,10836603,9
2.844344,10847227,9
2.854944,10857827,8.7
2.865547,10868430,8.85
2.876144,10879027,9.15
2.886768,10889651,8.55
2.897364,10900247,9.15
2.907971,10910854,9
2.918568,10921451,8.7
2.929174,10932057,9
2.939791,10942674,8.7
2.950425,10953308,8.7
2.961023,10963906,9.15
2.971622,10974505,8.85
2.982221,10985104,8.7
2.992823,10995706,9.3
3.00345,11006333,8.85
3.01405,11016933,9
3.024642,11027525,9.15
3.035265,11038148,8.7
3.045894,11048777,9
3.056493,11059376,9
3.067092,11069975,8.85
3.077695,11080578,9.3
3.08832,11091203,9
3.098919,11101802,9.15
3.109552,11112435,9.3
3.120146,11123029,8.85
3.130745,11133628,9.15
3.141374,11144257,9
3.152005,11154888,8.85
3.162634,11165517,9
3.173227,11176110,8.85
3.183827,11186710,8.85
3.194453,11197336,9.15
3.205086,11207969,8.7
3.215715,11218598,8.85
3.226344,11229227,8.85
3.236946,11239829,8.55
3.247544,11250427,8.85
3.258144,11261027,8.7
3.268769,11271652,8.7
3.279385,11282268,9.15
3.289992,11292875,8.7
3.300594,11303477,8.85
3.311203,11314086,9.15
3.321802,11324685,8.55
3.332426,11335309,9
3.343058,11345941,9
3.353654,11356537,8.7
3.364283,11367166,9
3.374878,11377761,9.15
3.385505,11388388,8.85
3.396134,11399017,9.45
3.406764,11409647,9
3.417358,11420241,9
3.427963,11430846,9.3
3.438564,11441447,8.7
3.44917,11452053,9
3.45979,11462673,9.3
3.470392,11473275,9
3.480993,11483876,9.3
3.491593,11494476,8.85
3.502202,11505085,9.15
3.512798,11515681,9.15
3.523392,11526275,8.85
3.533996,11536879,9
3.544592,11547475,9
3.555219,11558102,8.85
3.565844,11568727,8.85
3.576445,11579328,8.7
3.587049,11589932,8.85
3.597647,11600530,9.45
3.608272,11611155,8.55
3.618882,11621765,9
3.629506,11632389,9.15
3.640106,11642989,8.55
3.650765,11653648,9
3.661361,11664244,8.85
3.671968,11674851,8.85
3.68257,11685453,9.45
3.693176,11696059,8.85
3.703772,11706655,8.85
3.714402,11717285,9.3
3.725002,11727885,8.7
3.7356,11738483,8.85
3.746205,11749088,9.15
3.756801,11759684,9
3.767426,11770309,9.3
3.778023,11780906,9
3.788617,11791500,9
3.799247,11802130,9.45
3.809857,11812740,8.85
3.820481,11823364,9
3.831082,11833965,9
3.841698,11844581,8.85
3.852324,11855207,9.15
3.862922,11865805,8.7
3.873523,11876406,9
3.884121,11887004,9.3
3.894725,11897608,8.55
3.905332,11908215,8.85
