N:0.250000, 
13022887, 0.000000 
13043154, 0.000000 
13063314, 1.746058 
13083514, 1.746058 
13103678, 1.746058 
13123838, 0.000000 
13144007, 0.000000 
13164163, 0.000000 
13184317, 0.000000 
13204474, 0.000000 
13224663, 0.000000 
13244817, 0.000000 
13264983, 0.000000 
13285135, 0.000000 
13305289, 0.000000 
13325444, 0.000000 
13345604, 0.000000 
13365758, 0.052905 
13385960, 0.052905 
13406150, 0.052905 
13426304, 0.052905 
13446462, 0.000000 
13466624, 0.000000 
13486780, 0.000000 
13506946, 0.000000 
13527097, 0.000000 
13547278, 0.000000 
13567445, 0.052905 
13587607, 0.052905 
13607758, 0.105810 
13627919, 0.000000 
13648072, 0.000000 
13668248, 0.000000 
13688411, 0.000000 
13708565, 0.000000 
13728750, 0.000000 
13748914, 0.000000 
13769100, 0.000000 
13789261, 0.000000 
13809414, 0.000000 
13829569, 0.000000 
13849729, 0.000000 
13869886, 0.000000 
13890036, 0.000000 
13910188, 0.000000 
13930337, 0.000000 
13950524, 0.000000 
13970679, 0.000000 
13990831, 0.000000 
14011004, 0.000000 
14031157, 0.000000 
N:0.500000, 
19051446, 0.158739 
19071599, 0.317454 
19091750, 4.550266 
19111919, 0.846577 
19132077, 1.164031 
19152230, 1.322746 
19172387, 5.079412 
19192542, 1.746058 
19212697, 1.693106 
19232862, 1.957679 
19253024, 4.232812 
19273176, 2.169323 
19293339, 2.328062 
19313497, 1.269841 
19333647, 2.539659 
19353814, 2.486801 
19373967, 2.486825 
19394137, 2.486825 
19414291, 2.804232 
19434450, 2.910089 
19454603, 2.857184 
19474770, 2.910042 
19494930, 3.015900 
19515082, 3.174639 
19535244, 3.015900 
19555401, 3.015924 
19575554, 3.121758 
19595716, 3.174591 
19615869, 3.174615 
19636031, 3.174591 
19656185, 2.433872 
19676340, 3.280449 
19696494, 3.121758 
19716652, 3.333378 
19736802, 1.798964 
19756960, 3.439188 
19777116, 3.492069 
19797274, 3.492117 
19817427, 3.650856 
19837584, 4.761934 
19857743, 3.386307 
19877896, 3.386211 
19898052, 3.544998 
19918209, 6.666660 
19938367, 3.386259 
19958526, 3.386259 
19978690, 3.809547 
19998846, 7.301635 
20019000, 3.703725 
20039156, 3.756636 
20059310, 3.703725 
N:0.750000, 
25079603, 0.158730 
25099762, 1.058206 
25119918, 1.428580 
25140080, 1.904769 
25160240, 2.486785 
25180395, 3.862461 
25200558, 3.280446 
25220716, 3.544992 
25240865, 3.968278 
25261030, 6.243420 
25281184, 3.597906 
25301343, 4.656112 
25321513, 5.026495 
25341668, 7.619095 
25361822, 3.439176 
25381984, 5.714333 
25402140, 5.714321 
25422293, 9.523869 
25442459, 6.137609 
25462612, 6.296337 
25482767, 6.190526 
25502929, 10.423339 
25523083, 6.613803 
25543242, 4.867768 
25563402, 6.772530 
25583557, 10.740805 
25603711, 6.666684 
25623866, 7.089996 
25644024, 6.931257 
25664179, 10.000086 
25684371, 6.984162 
25704531, 7.354569 
25724679, 7.354569 
25744837, 10.317540 
25764989, 7.248759 
25785150, 7.407451 
25805343, 2.328062 
25825502, 11.217022 
25845660, 7.460332 
25865814, 7.354546 
25885965, 7.354498 
25906124, 10.952425 
25926283, 7.354546 
25946467, 6.031799 
25966626, 7.513285 
25986812, 7.513285 
26006979, 7.883644 
26027132, 7.777828 
26047289, 8.095294 
26067456, 9.629697 
26087618, 7.883653 
N:1.000000, 
31107923, 0.211632 
31128090, 1.216936 
31148241, 2.222240 
31168410, 3.492081 
31188566, 3.650832 
31208755, 4.179919 
31228937, 4.973578 
31249128, 8.095288 
31269308, 3.915358 
31289503, 6.455064 
31309655, 6.719625 
31329807, 7.089996 
31349966, 7.248712 
31370123, 4.973555 
31390278, 8.148193 
31410473, 7.989478 
31430630, 8.412743 
31450790, 8.571482 
31470946, 8.412743 
31491104, 8.783150 
31511260, 8.941865 
31531428, 8.994770 
31551582, 9.100628 
31571736, 9.206390 
31591899, 9.206438 
31612059, 9.418058 
31632210, 9.629726 
31652366, 9.629679 
31672557, 9.629679 
31692711, 9.682596 
31712869, 10.052973 
31733023, 7.724923 
31753174, 9.947154 
31773334, 9.894248 
31793492, 10.158795 
31813647, 10.317534 
31833801, 10.105872 
31853957, 9.894258 
31874117, 10.000068 
31894279, 10.052991 
31914437, 10.158790 
31934593, 10.000062 
31954750, 10.052991 
31974904, 10.158801 
31995060, 10.370445 
32015225, 9.629679 
32035376, 10.052991 
32055531, 10.158777 
32075685, 10.423326 
32095841, 10.423350 
32115998, 10.264587 
N:1.250000, 
37136308, 1.005298 
37156459, 4.867756 
37176613, 3.544995 
37196776, 4.444468 
37216930, 5.079398 
37237089, 9.735509 
37257250, 6.560891 
37277404, 7.619096 
37297558, 7.777827 
37317714, 12.222305 
37337869, 7.142908 
37358030, 8.888954 
37378185, 9.418053 
37398363, 12.910128 
37418520, 9.735525 
37438674, 9.947145 
37458832, 10.211695 
37479025, 12.804317 
37499180, 10.687852 
37519364, 5.820131 
37539517, 10.740829 
37559676, 12.010646 
37579831, 11.005354 
37600006, 11.217022 
37620160, 11.375737 
37640318, 12.222314 
37660477, 11.269927 
37680632, 11.269903 
37700790, 11.058235 
37720962, 11.904860 
37741136, 11.481571 
37761298, 11.481571 
37781456, 11.746109 
37801614, 10.423350 
37821774, 11.851933 
37841943, 11.640288 
37862102, 11.957747 
37882262, 11.587376 
37902455, 11.428637 
37922610, 11.428655 
37942768, 11.746120 
37962934, 11.799038 
37983092, 11.799026 
38003249, 11.904848 
38023404, 11.904848 
38043557, 11.693192 
38063710, 11.587358 
38083876, 9.047699 
38104027, 11.693192 
38124177, 11.640286 
