absTime [us], speed, voltage
begin7962698,0.000000,0.000000 
7973283,0.000000,1.568000 
7983613,0.000000,1.728160 
7993911,0.449955,1.825326 
8004206,1.649835,1.811069 
8014504,2.999700,1.758655 
8024798,3.599640,1.791928 
8035095,4.799520,1.732630 
8045390,5.399460,1.740165 
8055685,5.699430,1.781117 
8065978,6.449355,1.754785 
8076272,7.049295,1.738728 
8086578,7.349265,1.756087 
8096874,7.949205,1.727161 
8107166,8.399159,1.710654 
8117494,8.699130,1.708710 
8127790,9.149085,1.681479 
8138085,9.599040,1.647813 
8148377,9.299069,1.712703 
8158679,9.899010,1.655894 
8168981,9.899010,1.674499 
8179276,9.899010,1.693103 
8189573,10.498950,1.627715 
8199876,10.198979,1.679736 
8210170,10.948905,1.589061 
8220465,10.498950,1.655645 
8230759,10.948905,1.602677 
8241054,10.948905,1.606267 
8251342,10.948905,1.609858 
8261637,10.948905,1.613449 
8271930,11.098889,1.596042 
8282229,11.248875,1.576490 
8292524,11.248875,1.575791 
8302817,11.548844,1.533096 
8313108,10.948905,1.612099 
8323404,11.398860,1.552696 
8333700,11.098889,1.591848 
8344000,11.398860,1.551298 
8354292,11.398860,1.548454 
8364591,11.698830,1.503615 
8374889,11.398860,1.538477 
8385189,11.548844,1.514636 
8395481,11.098889,1.572641 
8405774,11.248875,1.553089 
8416066,11.248875,1.552390 
8426358,11.248875,1.551691 
8436653,11.548844,1.508996 
8446948,11.698830,1.483010 
8457243,11.698830,1.475877 
loop around, BEWARE! 
,8467621,11.698830,1.468743 
8477911,11.998799,1.419614 
8488240,11.098889,1.534179 
8498536,11.548844,1.472631 
8508830,11.398860,1.488640 
8519121,11.548844,1.464799 
8529418,11.248875,1.501806 
8539718,11.398860,1.480109 
8550013,11.098889,1.519262 
8560311,11.698830,1.436716 
8570605,11.248875,1.492576 
8580900,11.398860,1.470879 
8591202,11.548844,1.447038 
8601500,11.398860,1.463047 
8611792,11.398860,1.460204 
8622087,11.248875,1.478358 
8632384,11.548844,1.435663 
