RAW,DEGREE,ANGULAR_MOMENTUM
0.800160,305.793152,305.793152
0.804400,307.413544,1.620392
0.804400,307.413544,0.000000
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804400,307.413544,0.000000
0.804400,307.413544,0.000000
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804400,307.413544,0.000000
0.804320,307.382935,-0.030609
0.804320,307.382935,0.000000
0.804320,307.382935,0.000000
0.804400,307.413544,0.030609
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804400,307.413544,0.000000
0.804400,307.413544,0.000000
0.804400,307.413544,0.000000
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804400,307.413544,0.000000
0.804400,307.413544,0.000000
0.804400,307.413544,0.000000
0.804400,307.413544,0.000000
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804400,307.413544,0.000000
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804400,307.413544,0.000000
0.804320,307.382935,-0.030609
0.804320,307.382935,0.000000
0.804320,307.382935,0.000000
0.803760,307.168945,-0.213989
0.804400,307.413544,0.244598
0.804400,307.413544,0.000000
0.803920,307.230072,-0.183472
0.804400,307.413544,0.183472
0.804080,307.291229,-0.122314
0.804240,307.352386,0.061157
0.804320,307.382935,0.030548
0.804320,307.382935,0.000000
0.804160,307.321808,-0.061127
0.804400,307.413544,0.091736
0.804240,307.352386,-0.061157
0.804320,307.382935,0.030548
0.804400,307.413544,0.030609
0.804080,307.291229,-0.122314
0.804400,307.413544,0.122314
0.804320,307.382935,-0.030609
0.804320,307.382935,0.000000
0.804400,307.413544,0.030609
0.804320,307.382935,-0.030609
0.804320,307.382935,0.000000
0.804400,307.413544,0.030609
0.804240,307.352386,-0.061157
0.804400,307.413544,0.061157
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804320,307.382935,-0.030609
0.804400,307.413544,0.030609
0.804400,307.413544,0.000000
0.804400,307.413544,0.000000
