TimeStep,RAW,DEGREE,ANGULAR_MOMENTUM,,,,
0.002,0.80016,305.793152,,,,0,0
0.022,0.8044,307.413544,1.620392,,,0.002,0.366882
0.042,0.8044,307.413544,0,,,0.004,2.354156
0.062,0.80432,307.382935,-0.030609,,,0.006,3.210175
0.082,0.8044,307.413544,0.030609,,,0.008,4.494263
0.102,0.80432,307.382935,-0.030609,,,0.01,5.503174
0.122,0.8044,307.413544,0.030609,,,0.012,6.145203
0.142,0.8044,307.413544,0,,,0.014,7.123566
0.162,0.8044,307.413544,0,,,0.016,7.887878
0.182,0.80432,307.382935,-0.030609,,,0.018,9.355408
0.202,0.8044,307.413544,0.030609,,,0.02,9.263672
0.222,0.8044,307.413544,0,,,0.022,
0.242,0.80432,307.382935,-0.030609,,,0.024,
0.262,0.80432,307.382935,0,,,0.026,9.936289
0.282,0.80432,307.382935,0,,,0.028,10.180878
0.302,0.8044,307.413544,0.030609,,,0.03,10.089153
0.322,0.80432,307.382935,-0.030609,,,0.032,10.303169
0.342,0.8044,307.413544,0.030609,,,0.034,10.33374
0.362,0.8044,307.413544,0,,,0.036,10.517181
0.382,0.8044,307.413544,0,,,0.038,10.425461
0.402,0.8044,307.413544,0,,,0.04,10.456032
0.422,0.80432,307.382935,-0.030609,,,0.042,10.33374
0.442,0.8044,307.413544,0.030609,,,,
0.462,0.80432,307.382935,-0.030609,,,,
0.482,0.8044,307.413544,0.030609,,,,
0.502,0.80432,307.382935,-0.030609,,,,
0.522,0.8044,307.413544,0.030609,,,,
0.542,0.8044,307.413544,0,,,,
0.562,0.8044,307.413544,0,,,,
0.582,0.8044,307.413544,0,,,,
0.602,0.8044,307.413544,0,,,,
0.622,0.80432,307.382935,-0.030609,,,,
0.642,0.8044,307.413544,0.030609,,,,
0.662,0.8044,307.413544,0,,,,
0.682,0.80432,307.382935,-0.030609,,,,
0.702,0.8044,307.413544,0.030609,,,,
0.722,0.8044,307.413544,0,,,,
0.742,0.80432,307.382935,-0.030609,,,,
0.762,0.80432,307.382935,0,,,,
0.782,0.80432,307.382935,0,,,,
0.802,0.80376,307.168945,-0.213989,,,,
0.822,0.8044,307.413544,0.244598,,,,
0.842,0.8044,307.413544,0,,,,
0.862,0.80392,307.230072,-0.183472,,,,
0.882,0.8044,307.413544,0.183472,,,,
0.902,0.80408,307.291229,-0.122314,,,,
0.922,0.80424,307.352386,0.061157,,,,
0.942,0.80432,307.382935,0.030548,,,,
0.962,0.80432,307.382935,0,,,,
0.982,0.80416,307.321808,-0.061127,,,,
1.002,0.8044,307.413544,0.091736,,,,
1.022,0.80424,307.352386,-0.061157,,,,
1.042,0.80432,307.382935,0.030548,,,,
1.062,0.8044,307.413544,0.030609,,,,
1.082,0.80408,307.291229,-0.122314,,,,
1.102,0.8044,307.413544,0.122314,,,,
1.122,0.80432,307.382935,-0.030609,,,,
1.142,0.80432,307.382935,0,,,,
1.162,0.8044,307.413544,0.030609,,,,
1.182,0.80432,307.382935,-0.030609,,,,
1.202,0.80432,307.382935,0,,,,
1.222,0.8044,307.413544,0.030609,,,,
1.242,0.80424,307.352386,-0.061157,,,,
1.262,0.8044,307.413544,0.061157,,,,
1.282,0.80432,307.382935,-0.030609,,,,
1.302,0.8044,307.413544,0.030609,,,,
1.322,0.80432,307.382935,-0.030609,,,,
1.342,0.8044,307.413544,0.030609,,,,
1.362,0.8044,307.413544,0,,,,
1.382,0.8044,307.413544,0,,,,
1.402,0.80432,307.382935,-0.030609,,,,
1.422,0.8044,307.413544,0.030609,,,,
1.442,0.8044,307.413544,0,,,,
1.462,0.8044,307.413544,0,,,,
1.482,0.80344,307.046631,-0.366913,,,,
1.502,0.80416,307.321808,0.275177,,,,
1.522,0.80384,307.199493,-0.122314,,,,
1.542,0.80424,307.352386,0.152893,,,,
1.562,0.80408,307.291229,-0.061157,,,,
1.582,0.80432,307.382935,0.091705,,,,
1.602,0.80432,307.382935,0,,,,
1.622,0.80384,307.199493,-0.183441,,,,
1.642,0.80432,307.382935,0.183441,,,,
1.662,0.8036,307.107788,-0.275146,,,,
1.682,0.80456,307.47467,0.366882,,,,
1.702,0.81072,309.828827,2.354156,,,,
1.722,0.81912,313.039001,3.210175,,,,
1.742,0.83088,317.533264,4.494263,,,,
1.762,0.84528,323.036438,5.503174,,,,
1.782,0.86136,329.181641,6.145203,,,,
1.802,0.88,336.305206,7.123566,,,,
1.822,0.90064,344.193085,7.887878,,,,
1.842,0.92512,353.548492,9.355408,,,,
1.862,0.94936,362.812164,9.263672,,,,
1.882,0.4584,175.184433,,,,,
1.902,0.05928,22.654741,,,,,
1.922,0.08528,32.59103,9.936289,,,,
1.942,0.11192,42.771908,10.180878,,,,
1.962,0.13832,52.861061,10.089153,,,,
1.982,0.16528,63.16423,10.303169,,,,
2.002,0.19232,73.497971,10.33374,,,,
2.022,0.21984,84.015152,10.517181,,,,
2.042,0.24712,94.440613,10.425461,,,,
2.062,0.27448,104.896645,10.456032,,,,
2.082,0.30152,115.230385,10.33374,,,,
2.102,0.32872,125.625282,10.394897,,,,
2.122,0.35632,136.173035,10.547752,,,,
2.142,0.38304,146.384491,10.211456,,,,
2.162,0.40976,156.595932,10.211441,,,,
2.182,0.4368,166.929672,10.33374,,,,
2.202,0.46392,177.293991,10.364319,,,,
2.222,0.49096,187.627731,10.33374,,,,
2.242,0.51808,197.992035,10.364304,,,,
2.262,0.54488,208.234055,10.24202,,,,
2.282,0.57184,218.537231,10.303177,,,,
2.302,0.59864,228.779266,10.242035,,,,
2.322,0.62624,239.327011,10.547745,,,,
2.342,0.65352,249.752472,10.425461,,,,
2.362,0.68072,260.147339,10.394867,,,,
2.382,0.70792,270.542267,10.394928,,,,
2.402,0.73512,280.937134,10.394867,,,,
2.422,0.76232,291.332001,10.394867,,,,
2.442,0.7892,301.604614,10.272614,,,,
2.462,0.81872,312.886108,11.281494,,,,
2.482,0.84544,323.097565,10.211456,,,,
2.502,0.87256,333.461914,10.364349,,,,
2.522,0.89952,343.765045,10.303131,,,,
2.542,0.92672,354.159943,10.394897,,,,
2.562,0.95408,364.615967,10.456024,,,,
2.582,0.16848,64.387154,,,,,
2.602,0.0684,26.140087,,,,,
2.622,0.09608,36.71841,10.578323,,,,
2.642,0.1236,47.235592,10.517181,,,,
2.662,0.15064,57.569336,10.333744,,,,
2.682,0.17784,67.964218,10.394882,,,,
2.702,0.20536,78.4814,10.517181,,,,
2.722,0.2328,88.968018,10.486618,,,,
2.742,0.26024,99.454613,10.486595,,,,
2.762,0.28736,109.818939,10.364326,,,,
2.782,0.31448,120.18325,10.364311,,,,
2.802,0.3416,130.547562,10.364311,,,,
2.822,0.3688,140.942459,10.394897,,,,
2.842,0.39584,151.276184,10.333725,,,,
2.862,0.42256,161.48764,10.211456,,,,
2.882,0.45016,172.0354,10.54776,,,,
2.902,0.47744,182.460861,10.425461,,,,
2.922,0.50464,192.855743,10.394882,,,,
2.942,0.53136,203.067184,10.211441,,,,
2.962,0.55808,213.278656,10.211472,,,,
2.982,0.58496,223.551239,10.272583,,,,
