time(us),Degree pr Sec
691339,-0.052905
711779,0.687844
731976,-0.052905
752169,-0.052905
772327,-0.052905
792508,2.380967
812689,-2.275145
832889,0.052905
853057,-0.052905
873219,0.000000
893375,-3.650808
913534,0.000000
933734,-0.105804
953927,-0.105810
974107,1.375687
994260,7.460368
1014444,11.640286
1034607,14.179981
1054755,14.814901
1074935,15.396905
1095117,18.677402
1115284,16.349340
1135431,16.190577
1155644,15.555644
1175817,18.836117
1196000,15.926027
1216161,16.137695
1236344,15.132380
