abstime(us), VoltagePID, Degree pr Sec, Wanted WS:3.000000,,
13022917,0.153300,0.000000,,,
13043286,0.206340,0.000000,,,
13063548,0.259380,0.000000,,,
13083776,0.304311,0.158691,,,
13104018,0.362654,0.000000,,,
13124263,0.415694,0.000000,,,
13144510,0.468734,0.000000,,,
13164720,0.513663,0.158739,,,
13184964,0.377341,3.809524,,,
13205214,0.557695,0.000000,,,
13225429,0.580994,0.582027,,,
13245648,0.607522,0.899482,,,
13265892,0.641955,0.952387,,,
13286139,0.694380,0.634909,,,
13306384,0.690232,1.534390,,,
13326640,0.716144,1.534390,,,
13346883,0.742056,1.534390,,,
13367097,0.730114,2.275157,,,
13387344,0.732116,2.486777,,,
13407593,0.760115,2.116418,,,
13427843,0.724365,3.121734,,,
13448090,0.700584,3.544998,,,
13468343,0.685539,3.650856,,,
13488589,0.671328,3.703761,,,
13508834,0.650778,3.862429,,,
13529046,0.632826,3.915358,,,
13549295,0.619346,3.862453,,,
13569546,0.598691,3.968263,,,
13589763,0.578868,4.021168,,,
13609978,0.582443,3.597903,,,
13630192,0.536723,4.285741,,,
13650438,0.551842,3.545022,,,
13670653,0.536800,3.650808,,,
13690870,0.390108,6.296325,,,
13711118,0.480532,3.386283,,,
13731331,0.492631,3.015876,,,
13751543,0.511275,2.645516,,,
13771789,0.631100,0.423265,,,
13792002,0.579320,2.328086,,,
13812216,0.680423,0.582027,,,
13832436,0.609618,2.804232,,,
13852648,0.613079,2.804232,,,
13872871,0.613836,2.857161,,,
13893121,0.619064,2.804279,,,
13913365,0.622524,2.804279,,,
13933617,0.631394,2.698421,,,
13953870,0.636725,2.698421,,,
13974113,0.731277,0.952435,,,
13994328,0.645812,3.333378,,,
14014546,0.499324,6.084728,,,
14034794,0.585382,3.333330,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:4.000000,,
17055191,0.787404,0.264547,,,
17075417,0.756113,2.169326,,,
17095634,0.783072,2.275144,,,
17115883,0.808159,2.380970,,,
17136101,0.831377,2.486786,,,
17156315,0.852722,2.592614,,,
17176557,0.858679,2.962986,,,
17196807,0.901347,2.486795,,,
17217018,0.860507,3.809559,,,
17237230,0.671910,7.566190,,,
17257446,0.973863,0.423270,,,
17277660,0.831617,4.444456,,,
17297908,0.802128,4.867768,,,
17318160,0.789490,4.814839,,,
17338409,0.761565,5.079395,,,
17358654,0.761407,4.709029,,,
17378871,0.700205,5.661416,,,
17399087,0.700572,5.079401,,,
17419331,0.686895,4.973578,,,
17439544,0.661572,5.132306,,,
17459765,0.733479,3.333354,,,
17480007,0.669561,4.814839,,,
17500254,0.641636,5.079401,,,
17520480,0.644182,4.656112,,,
17540731,0.640692,4.497397,,,
17560943,0.421008,8.624411,,,
17581157,0.544734,4.603171,,,
17601406,0.580032,3.703713,,,
17621621,0.555528,4.285765,,,
17641839,0.569403,3.915358,,,
17662085,0.570899,3.915358,,,
17682331,0.566989,4.021168,,,
17702587,0.577430,3.809524,,,
17722830,0.580796,3.809547,,,
17743044,0.586868,3.756618,,,
17763264,0.596578,3.650808,,,
17783491,0.608159,3.544998,,,
17803735,0.613500,3.597903,,,
17823990,0.671978,2.592635,,,
17844235,0.648194,3.544998,,,
17864457,0.831981,0.105810,,,
17884707,0.630459,5.396843,,,
17904957,0.678763,3.968263,,,
17925173,0.676621,4.021168,,,
17945390,0.587020,5.767274,,,
17965637,0.653113,3.862429,,,
17985884,0.669061,3.597927,,,
18006133,0.670764,3.703713,,,
18026349,0.665185,3.915405,,,
18046567,0.672090,3.809547,,,
18066807,0.726829,2.804232,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:5.000000,,
21087207,0.699031,4.761929,,,
21107446,0.597795,6.825437,,,
21127701,0.679078,4.603198,,,
21147948,0.699612,4.338652,,,
21168166,0.716712,4.232827,,,
21188376,0.787054,3.121695,,,
21208621,0.760780,4.285747,,,
21228842,0.762593,4.497385,,,
21249059,0.793110,4.074091,,,
21269300,0.795961,4.338652,,,
21289553,0.796839,4.550284,,,
21309799,0.804790,4.550284,,,
21330053,0.799222,4.814846,,,
21350296,0.807904,4.709005,,,
21370551,0.815751,4.656112,,,
21390795,0.840758,4.285729,,,
21411012,0.823644,4.867768,,,
21431253,0.820574,4.973590,,,
21451478,0.804819,5.291045,,,
21471729,0.810489,5.079401,,,
21491970,0.652270,8.148182,,,
21512185,0.745314,5.238128,,,
21532425,0.757328,4.920638,,,
21552671,0.637062,7.301641,,,
21572922,0.804556,3.227520,,,
21593138,0.865633,2.645540,,,
21613354,0.769370,5.343962,,,
21633600,0.760584,5.396891,,,
21653814,0.734642,5.767250,,,
21674025,0.726485,5.661416,,,
21694281,0.706680,5.820155,,,
21714504,0.705699,5.555582,,,
21734753,0.693172,5.608511,,,
21755003,0.695932,5.343962,,,
21775255,0.687147,5.396867,,,
21795477,0.845057,2.169347,,,
21815725,0.708546,5.820155,,,
21835974,0.710268,5.502701,,,
21856193,0.720308,5.132294,,,
21876406,0.580079,7.830715,,,
21896627,0.670626,5.079365,,,
21916838,0.677332,4.920673,,,
21937054,0.754441,3.439140,,,
21957299,0.817186,2.751303,,,
21977554,0.743386,4.973555,,,
21997807,0.827669,3.333330,,,
22018053,0.776025,4.920626,,,
22038265,0.761202,5.238152,,,
22058478,0.759696,5.185223,,,
22078688,0.748310,5.343962,,,
22098931,0.744934,5.291033,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:6.000000,,
25119326,0.817925,4.761934,,,
25139552,0.853333,4.497385,,,
25159791,0.852863,5.026460,,,
25180041,0.829519,5.820131,,,
25200253,0.881366,4.867744,,,
25220478,0.866235,5.555582,,,
25240695,0.676719,9.418082,,,
25260943,0.797440,5.873013,,,
25281157,0.980835,2.328014,,,
25301373,0.867306,5.820179,,,
25321616,0.865080,5.925965,,,
25341870,0.860982,6.031775,,,
25362116,0.863123,5.978870,,,
25382367,0.860791,6.031823,,,
25402581,0.846711,6.296349,,,
25422794,0.846880,6.190515,,,
25443041,0.843513,6.190491,,,
25463296,0.850959,5.978870,,,
25483522,0.886479,5.291057,,,
25503734,0.858459,6.084681,,,
25523942,0.843441,6.349277,,,
25544196,0.848082,6.137609,,,
25564441,0.656388,9.841347,,,
25584692,0.783144,6.031752,,,
25604902,0.769064,6.296301,,,
25625121,0.931454,3.015900,,,
25645369,0.808470,6.455088,,,
25665582,0.800424,6.455088,,,
25685797,0.789675,6.507981,,,
25706047,0.791509,6.296337,,,
25726299,0.770048,6.613797,,,
25746528,0.778122,6.243426,,,
25766777,0.919819,3.386271,,,
25787021,0.822733,6.190515,,,
25807273,0.792327,6.719620,,,
25827487,0.836382,5.608500,,,
25847698,0.786526,6.719620,,,
25867943,0.798136,6.243432,,,
25888155,0.569424,10.634986,,,
25908375,0.814628,4.232827,,,
25928619,0.751242,6.084681,,,
25948836,0.749743,6.084699,,,
25969056,0.794209,5.185229,,,
25989274,0.768059,5.978870,,,
26009488,0.776543,5.820143,,,
26029700,0.763501,6.137598,,,
26049943,0.847587,4.444480,,,
26070156,0.799385,5.925953,,,
26090372,0.687137,8.148217,,,
26110617,0.768121,5.820143,,,
26130830,0.784820,5.555582,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:7.000000,,
29151227,0.884332,4.761938,,,
29171482,0.969865,3.862462,,,
29191730,0.917188,5.978875,,,
29211983,0.894686,6.772524,,,
29232201,0.928448,6.190509,,,
29252417,0.950870,6.031794,,,
29272660,0.949063,6.402159,,,
29292912,1.008300,5.449766,,,
29313126,1.081671,4.550302,,,
29333342,1.027647,6.455076,,,
29353566,0.850725,10.105896,,,
29373817,0.955333,6.984162,,,
29394057,0.958316,6.931257,,,
29414269,0.948716,7.142913,,,
29434492,0.948894,7.089984,,,
29454734,0.939192,7.248724,,,
29474990,0.899645,7.936573,,,
29495232,0.920940,7.195807,,,
29515485,1.147294,2.698421,,,
29535704,0.966493,7.724905,,,
29555924,0.940157,7.989478,,,
29576141,0.925366,7.936573,,,
29596389,0.897994,8.148193,,,
29616632,0.904729,7.619119,,,
29636845,0.877560,7.936597,,,
29657065,0.920487,6.772494,,,
29677310,0.783914,9.523869,,,
29697538,0.825811,7.830739,,,
29717783,0.848976,7.089972,,,
29738035,0.652717,10.899544,,,
29758290,0.764922,7.354546,,,
29778507,0.788393,6.772566,,,
29798761,0.805935,6.507969,,,
29819013,0.809227,6.613779,,,
29839265,0.810649,6.719589,,,
29859513,0.953493,4.021215,,,
29879762,1.006158,4.021215,,,
29900014,0.923638,6.666708,,,
29920270,0.902494,7.195813,,,
29940514,0.923365,6.719619,,,
29960764,0.914804,6.984174,,,
29981011,0.928602,6.719619,,,
30001219,0.920040,6.984176,,,
30021460,0.928432,6.825437,,,
30041678,0.909888,7.248724,,,
30061894,0.916305,7.037090,,,
30082137,0.923761,6.878349,,,
30102389,0.928615,6.825447,,,
30122641,0.926294,6.931257,,,
30142889,0.930213,6.878352,,,
30163141,0.926956,6.984174,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:8.000000,,
33183533,0.948596,7.566166,,,
33203772,0.983303,7.037067,,,
33223995,1.000328,7.037067,,,
33244206,0.987611,7.619095,,,
33264422,0.791566,11.587381,,,
33284632,0.920106,7.830739,,,
33304879,0.950135,7.301635,,,
33325129,0.921926,8.095298,,,
33345380,0.958094,7.354541,,,
33365630,0.942469,7.883644,,,
33385876,0.955341,7.672000,,,
33406091,1.131474,4.338652,,,
33426313,1.020465,7.777825,,,
33446536,1.046023,7.354540,,,
33466757,1.030397,7.883656,,,
33487003,1.037861,7.777828,,,
33507253,1.039086,7.830733,,,
33527500,1.139412,5.925977,,,
33547753,1.076043,7.883656,,,
33567973,1.064581,8.148206,,,
33588188,1.053851,8.306921,,,
33608406,1.053831,8.201111,,,
33628656,1.042166,8.359814,,,
33648905,0.843838,12.116504,,,
33669118,1.049541,6.666732,,,
33689337,1.002818,8.042383,,,
33709557,0.988550,8.306932,,,
33729769,0.972309,8.518553,,,
33749982,0.963141,8.518553,,,
33770228,0.962084,8.359838,,,
33790475,0.958425,8.306932,,,
33810692,0.947592,8.412743,,,
33830904,1.116037,4.973555,,,
33851156,1.010024,8.095288,,,
33871372,1.013746,7.989478,,,
33891630,1.146416,5.396843,,,
33911883,1.049141,8.201122,,,
33932133,1.053697,8.042383,,,
33952350,1.052947,8.042383,,,
33972569,0.892679,11.164093,,,
33992784,1.007068,7.830811,,,
34013038,1.010059,7.830811,,,
34033284,0.996832,8.148199,,,
34053531,0.996915,8.095294,,,
34073781,0.973601,8.518577,,,
34094025,0.988766,8.042383,,,
34114242,0.988017,8.042383,,,
34134463,0.957527,8.624390,,,
34154710,0.965414,8.254016,,,
34174962,0.958219,8.306930,,,
34195207,1.006867,7.248715,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:9.000000,,
37215603,1.033397,7.989470,,,
37235824,1.070189,7.619098,,,
37256048,1.064863,8.201111,,,
37276291,1.162802,6.560892,,,
37296504,1.116703,8.306938,,,
37316747,1.123548,8.412766,,,
37337000,1.142043,8.254016,,,
37357245,1.136305,8.624399,,,
37377493,1.151057,8.465660,,,
37397744,1.265949,6.402159,,,
37417992,1.295658,6.719601,,,
37438209,1.198085,9.418035,,,
37458428,1.233952,8.571506,,,
37478671,1.200971,9.365177,,,
37498923,1.178295,9.682584,,,
37519173,1.177040,9.470987,,,
37539419,1.179529,9.259319,,,
37559671,1.166834,9.418035,,,
37579916,1.162147,9.365129,,,
37600135,1.166505,9.153509,,,
37620347,1.169200,9.047651,,,
37640568,1.027765,11.798978,,,
37660783,1.137797,8.677292,,,
37681006,1.138093,8.783150,,,
37701224,1.252782,6.613779,,,
37721468,1.176004,8.941889,,,
37741721,1.179736,8.888960,,,
37761978,1.181699,8.888960,,,
37782224,1.162034,9.312224,,,
37802474,1.161920,9.206414,,,
37822721,1.150160,9.365142,,,
37842967,1.200482,8.254027,,,
37863180,1.156893,9.365136,,,
37883401,1.182882,8.730216,,,
37903651,1.144392,9.576789,,,
37923899,1.177454,8.730227,,,
37944145,1.168706,8.994759,,,
37964360,1.071464,10.899538,,,
37984584,1.246067,6.825447,,,
38004801,1.162845,9.206414,,,
38025050,1.010490,12.116504,,,
38045301,1.101393,9.259319,,,
