time_s,mean_volt
-0.001,2.727
0.001,0.0
0.002,0.909
0.003,0.0
0.004,1.818
0.005,1.818
0.006,1.818
0.007,0.909
0.008,0.909
0.009,1.818
0.011,1.818
0.012,1.818
0.013,1.818
0.014,1.818
0.015,0.909
0.016,0.909
0.017,1.818
0.018,1.818
0.019,1.818
0.020,1.818
0.021,1.818
0.023,1.818
0.024,1.818
0.025,0.909
0.026,1.818
0.027,1.818
0.028,1.818
0.029,1.818
0.030,1.818
0.031,1.818
0.033,1.818
0.034,1.818
0.035,1.818
0.036,2.727
0.037,0.0
0.038,1.818
0.039,2.727
0.040,1.818
0.041,1.818
0.042,1.818
0.043,1.818
0.045,1.818
0.046,1.818
0.047,1.818
0.048,1.818
0.049,1.818
0.050,2.727
0.051,1.818
0.052,0.0
0.053,1.818
0.054,1.818
0.056,1.818
0.057,1.818
0.058,1.818
0.059,1.818
0.060,2.727
0.061,2.727
0.062,2.727
0.063,2.727
0.064,2.727
0.066,1.818
0.067,1.818
0.068,1.818
0.069,1.818
0.070,2.727
0.071,2.727
0.072,2.727
0.073,2.727
0.074,2.727
0.075,2.727
0.076,2.727
0.078,2.727
0.079,1.818
0.080,2.727
0.081,2.727
0.082,2.727
0.083,2.727
0.084,2.727
0.085,2.727
0.086,2.727
0.087,2.727
0.089,2.727
0.090,2.727
0.091,3.636
0.092,3.636
0.093,2.727
0.094,2.727
0.095,2.727
0.096,2.727
0.097,2.727
0.099,2.727
0.100,2.727
0.101,3.636
0.102,3.636
0.103,3.636
0.104,3.636
0.105,3.636
0.106,2.727
0.107,2.727
0.108,2.727
0.110,2.727
0.111,2.727
0.112,3.636
0.113,3.636
0.114,3.636
0.115,3.636
0.116,3.636
0.117,3.636
0.118,3.636
0.119,3.636
0.121,3.636
0.122,3.636
0.123,3.636
0.124,3.636
0.125,3.636
0.126,3.636
0.127,3.636
0.128,3.636
0.129,3.636
0.130,3.636
0.132,3.636
0.133,3.636
0.134,4.545
0.135,4.545
0.136,3.636
0.137,3.636
0.138,3.636
0.139,3.636
0.140,3.636
0.141,3.636
0.143,3.636
0.144,3.636
0.145,4.545
0.146,4.545
0.147,4.545
0.148,4.545
0.149,4.545
0.150,4.545
0.151,3.636
0.152,3.636
0.154,3.636
0.155,3.636
0.156,4.545
0.157,4.545
0.158,4.545
0.159,4.545
0.160,4.545
0.161,4.545
0.162,4.545
0.163,4.545
0.165,4.545
0.166,4.545
0.167,4.545
0.168,4.545
0.169,4.545
0.170,4.545
0.171,4.545
0.172,4.545
0.173,4.545
0.174,4.545
0.176,4.545
0.177,5.455
0.178,5.455
0.179,5.455
0.180,5.455
0.181,4.545
0.182,4.545
0.183,4.545
0.184,4.545
0.185,4.545
0.187,10.0
