x-axis,1,EXT
second,Volt,
-5.80000E-03,,1
-5.75000E-03,-10.35179E-03,0
-5.70000E-03,-21.65832E-03,0
-5.65000E-03,-12.86435E-03,0
-5.60000E-03,-24.17088E-03,0
-5.55000E-03,-34.22113E-03,0
-5.50000E-03,-12.86435E-03,0
-5.45000E-03,-11.60807E-03,0
-5.40000E-03,-12.86435E-03,0
-5.35000E-03,-34.22113E-03,0
-5.30000E-03,-44.27139E-03,0
-5.25000E-03,-12.86435E-03,0
-5.20000E-03,-1.55782E-03,0
-5.15000E-03,-12.86435E-03,0
-5.10000E-03,-12.86435E-03,0
-5.05000E-03,-12.86435E-03,0
-5.00000E-03,-12.86435E-03,0
-4.95000E-03,-31.70857E-03,0
-4.90000E-03,-12.86435E-03,0
-4.85000E-03,-51.80907E-03,0
-4.80000E-03,-24.17088E-03,0
-4.75000E-03,+8.49243E-03,0
-4.70000E-03,-12.86435E-03,0
-4.65000E-03,-14.12063E-03,0
-4.60000E-03,-12.86435E-03,0
-4.55000E-03,-12.86435E-03,0
-4.50000E-03,-21.65832E-03,0
-4.45000E-03,+24.82409E-03,0
-4.40000E-03,-1.55782E-03,0
-4.35000E-03,-12.86435E-03,0
-4.30000E-03,-21.65832E-03,0
-4.25000E-03,-12.86435E-03,0
-4.20000E-03,-12.86435E-03,0
-4.15000E-03,-31.70857E-03,1
-4.10000E-03,-12.86435E-03,1
-4.05000E-03,-12.86435E-03,1
-4.00000E-03,-41.75882E-03,1
-3.95000E-03,-53.06536E-03,1
-3.90000E-03,-44.27139E-03,1
-3.85000E-03,-12.86435E-03,1
-3.80000E-03,-12.86435E-03,1
-3.75000E-03,-53.06536E-03,1
-3.70000E-03,-4.07038E-03,1
-3.65000E-03,-51.80907E-03,1
-3.60000E-03,-41.75882E-03,1
-3.55000E-03,-12.86435E-03,1
-3.50000E-03,-12.86435E-03,1
-3.45000E-03,-12.86435E-03,1
-3.40000E-03,-53.06536E-03,1
-3.35000E-03,+5.97987E-03,1
-3.30000E-03,-12.86435E-03,1
-3.25000E-03,-51.80907E-03,1
-3.20000E-03,-53.06536E-03,1
-3.15000E-03,-31.70857E-03,1
-3.10000E-03,-21.65832E-03,1
-3.05000E-03,-50.55279E-03,1
-3.00000E-03,-12.86435E-03,1
-2.95000E-03,-34.22113E-03,1
-2.90000E-03,-12.86435E-03,1
-2.85000E-03,-12.86435E-03,1
-2.80000E-03,-41.75882E-03,1
-2.75000E-03,-31.70857E-03,1
-2.70000E-03,-44.27139E-03,1
-2.65000E-03,-51.80907E-03,1
-2.60000E-03,-24.17088E-03,1
-2.55000E-03,-12.86435E-03,1
-2.50000E-03,+9.74871E-03,1
-2.45000E-03,-51.80907E-03,1
-2.40000E-03,-53.06536E-03,1
-2.35000E-03,-12.86435E-03,1
-2.30000E-03,-12.86435E-03,1
-2.25000E-03,-12.86435E-03,1
-2.20000E-03,-41.75882E-03,1
-2.15000E-03,-31.70857E-03,1
-2.10000E-03,-35.47742E-03,1
-2.05000E-03,-12.86435E-03,1
-2.00000E-03,-53.06536E-03,1
-1.95000E-03,-31.70857E-03,1
-1.90000E-03,-44.27139E-03,1
-1.85000E-03,-53.06536E-03,1
-1.80000E-03,-12.86435E-03,1
-1.75000E-03,-12.86435E-03,1
-1.70000E-03,-12.86435E-03,1
-1.65000E-03,-51.80907E-03,1
-1.60000E-03,-24.17088E-03,0
-1.55000E-03,-53.06536E-03,0
