time_s,mean_volt,,
-0.006,0,,
-0.005,0,,
-0.004,0,,
-0.002,0,,
-0.001,0,,682
0,0.682,682,1364
0.001,1.364,682,2046
0.002,2.386,1022,3068
0.003,4.091,1705,4773
0.004,6.364,2273,7046
0.005,6.364,454,7500
0.006,6.818,454,7954
0.007,6.364,-454,7500
0.009,6.364,0,7500
0.01,6.818,454,7954
0.011,6.818,0,7954
0.012,6.364,-454,7500
0.013,6.818,454,7954
0.014,6.818,0,7954
0.015,6.364,-454,7500
0.016,6.364,0,7500
0.017,6.818,454,7954
0.018,6.818,0,7954
0.02,6.818,0,7954
0.021,6.818,0,7954
0.022,6.818,0,7954
0.023,6.818,0,7954
0.024,6.818,0,7954
0.025,6.818,0,7954
0.026,6.818,0,7954
0.027,6.818,0,7954
0.028,6.818,0,7954
0.029,7.273,455,8409
0.031,6.818,-227.5,8181.5
0.032,6.818,0,8181.5
0.033,6.818,0,8181.5
0.034,6.818,0,8181.5
0.035,6.818,0,8181.5
0.036,6.818,0,8181.5
0.037,6.818,0,8181.5
0.038,6.818,0,8181.5
0.039,7.273,455,8636.5
0.04,6.818,-455,8181.5
0.042,6.818,0,8181.5
0.043,6.818,0,8181.5
0.044,7.273,455,8636.5
0.045,7.273,0,8636.5
0.046,7.273,0,8636.5
0.047,6.818,-455,8181.5
0.048,7.273,455,8636.5
0.049,7.273,0,8636.5
0.05,7.273,0,8636.5
0.051,7.273,0,8636.5
0.053,7.273,0,8636.5
0.054,7.273,0,8636.5
0.055,7.273,0,8636.5
0.056,7.273,0,8636.5
0.057,7.727,454,9090.5
0.058,7.727,0,9090.5
0.059,7.273,-454,8636.5
0.06,7.273,0,8636.5
0.061,7.273,0,8636.5
0.062,7.727,454,9090.5
0.064,7.727,0,9090.5
0.065,7.273,-454,8636.5
0.066,7.273,0,8636.5
0.067,7.727,454,9090.5
0.068,7.727,0,9090.5
0.069,7.727,0,9090.5
0.07,7.727,0,9090.5
0.071,7.273,-454,8636.5
0.072,7.727,454,9090.5
0.073,7.727,0,9090.5
0.075,7.727,0,9090.5
0.082,7.727,0,9090.5
0.083,7.727,0,9090.5
0.084,8.182,455,9545.5
0.086,8.182,0,9545.5
0.087,7.727,-455,9090.5
0.088,7.727,0,9090.5
0.089,8.182,455,9545.5
0.09,8.182,0,9545.5
0.091,8.182,0,9545.5
0.092,8.182,0,9545.5
0.093,8.421,239,9784.5
