x-axis,1,EXT,F1
second,Volt,,Volt
-9.00E-03,-1.29E-02,1,6.10E-06
-8.75E-03,-8.82E-02,1,6.10E-06
-8.50E-03,-1.29E-02,1,6.10E-06
-8.25E-03,-1.29E-02,1,6.10E-06
-8.00E-03,-5.31E-02,1,6.10E-06
-7.75E-03,-5.31E-02,1,6.10E-06
-7.50E-03,-5.31E-02,1,6.10E-06
-7.25E-03,-7.82E-02,1,6.10E-06
-7.00E-03,-4.80E-02,1,6.10E-06
-6.75E-03,-1.79E-02,1,6.10E-06
-6.50E-03,-2.79E-02,1,6.10E-06
-6.25E-03,-1.29E-02,1,6.10E-06
-6.00E-03,-1.29E-02,1,6.10E-06
-5.75E-03,-5.31E-02,1,6.10E-06
-5.50E-03,-1.29E-02,1,6.10E-06
-5.25E-03,-1.29E-02,1,6.10E-06
-5.00E-03,-1.29E-02,1,6.10E-06
-4.75E-03,-1.29E-02,1,6.10E-06
-4.50E-03,-1.29E-02,1,6.10E-06
-4.25E-03,-2.79E-02,1,6.10E-06
-4.00E-03,-4.80E-02,1,6.10E-06
-3.75E-03,-1.29E-02,1,6.10E-06
-3.50E-03,2.73E-02,1,6.10E-06
-3.25E-03,-1.29E-02,1,6.10E-06
-3.00E-03,-1.29E-02,1,6.10E-06
-2.75E-03,1.73E-02,1,6.10E-06
-2.50E-03,-1.29E-02,1,6.10E-06
-2.25E-03,-3.80E-02,1,6.10E-06
-2.00E-03,-1.29E-02,1,6.10E-06
-1.75E-03,-1.29E-02,1,6.10E-06
-1.50E-03,-1.29E-02,1,6.10E-06
-1.25E-03,-1.29E-02,1,6.10E-06
-1.00E-03,-4.80E-02,1,6.10E-06
-7.50E-04,-1.29E-02,1,6.10E-06
-5.00E-04,-2.79E-02,1,6.10E-06
-2.50E-04,2.21E-03,1,6.10E-06
0.00E+00,2.07E+00,1,6.10E-06
2.50E-04,-4.80E-02,1,6.10E-06
5.00E-04,-1.29E-02,1,6.10E-06
7.50E-04,5.25E-02,1,6.10E-06
1.00E-03,1.43E-01,1,6.10E-06
1.25E-03,1.13E-01,1,6.10E-06
1.50E-03,1.33E-01,1,6.10E-06
1.75E-03,1.24E+00,1,6.10E-06
2.00E-03,1.83E-01,1,6.10E-06
2.25E-03,1.83E-01,1,6.10E-06
2.50E-03,1.48E-01,1,6.10E-06
2.75E-03,1.48E-01,1,6.10E-06
3.00E-03,1.48E-01,1,6.10E-06
3.25E-03,1.53E-01,1,6.10E-06
3.50E-03,2.13E-01,1,6.10E-06
3.75E-03,1.48E-01,1,6.10E-06
4.00E-03,1.13E-01,1,6.10E-06
4.25E-03,1.83E-01,1,6.10E-06
4.50E-03,1.63E-01,1,6.10E-06
4.75E-03,2.03E-01,1,6.10E-06
5.00E-03,3.17E+00,1,6.10E-06
5.25E-03,3.19E+00,1,6.10E-06
5.50E-03,3.20E+00,1,6.10E-06
5.75E-03,4.90E-01,1,6.10E-06
6.00E-03,1.24E+00,1,6.10E-06
6.25E-03,3.20E+00,1,6.10E-06
6.50E-03,3.20E+00,1,6.10E-06
6.75E-03,3.22E+00,1,6.10E-06
7.00E-03,3.24E-02,1,6.10E-06
7.25E-03,3.27E+00,1,6.10E-06
7.50E-03,3.20E+00,1,6.10E-06
7.75E-03,3.20E+00,1,6.10E-06
8.00E-03,7.26E-02,1,6.10E-06
8.25E-03,3.20E+00,1,6.10E-06
8.50E-03,3.22E+00,1,6.10E-06
8.75E-03,3.18E+00,1,6.10E-06
9.00E-03,3.20E+00,1,6.10E-06
9.25E-03,1.48E-01,1,6.10E-06
9.50E-03,3.20E+00,1,6.10E-06
9.75E-03,3.22E+00,1,6.10E-06
1.00E-02,3.20E+00,1,6.10E-06
1.03E-02,6.75E-02,1,6.10E-06
1.05E-02,3.20E+00,1,6.10E-06
1.08E-02,3.20E+00,1,6.10E-06
1.10E-02,3.21E+00,1,6.10E-06
1.13E-02,3.24E+00,1,6.10E-06
1.15E-02,1.48E-01,1,6.10E-06
1.18E-02,3.22E+00,1,6.10E-06
1.20E-02,3.24E+00,1,6.10E-06
1.23E-02,3.21E+00,1,6.10E-06
1.25E-02,1.08E-01,1,6.10E-06
1.28E-02,3.22E+00,1,6.10E-06
1.30E-02,3.20E+00,1,6.10E-06
1.33E-02,3.24E+00,1,6.10E-06
1.35E-02,3.24E+00,1,6.10E-06
1.38E-02,8.26E-02,1,6.10E-06
1.40E-02,3.20E+00,1,6.10E-06
1.43E-02,3.20E+00,1,6.10E-06
1.45E-02,3.23E+00,1,6.10E-06
1.48E-02,1.23E-01,1,6.10E-06
1.50E-02,3.20E+00,1,6.10E-06
1.53E-02,3.24E+00,1,6.10E-06
1.55E-02,3.21E+00,1,6.10E-06
1.58E-02,3.20E+00,1,6.10E-06
1.60E-02,1.48E-01,1,6.10E-06
1.63E-02,3.24E+00,1,6.10E-06
1.65E-02,3.22E+00,1,6.10E-06
1.68E-02,3.23E+00,1,6.10E-06
1.70E-02,2.73E-02,1,6.10E-06
1.73E-02,3.20E+00,1,6.10E-06
1.75E-02,3.24E+00,1,6.10E-06
1.78E-02,3.22E+00,1,6.10E-06
1.80E-02,1.28E-01,1,6.10E-06
1.83E-02,3.17E+00,1,6.10E-06
1.85E-02,3.20E+00,1,6.10E-06
1.88E-02,3.24E+00,1,6.10E-06
1.90E-02,3.23E+00,1,6.10E-06
1.93E-02,3.74E-02,1,6.10E-06
1.95E-02,3.23E+00,1,6.10E-06
1.98E-02,3.22E+00,1,6.10E-06
2.00E-02,3.24E+00,1,6.10E-06
2.03E-02,1.13E-01,1,6.10E-06
2.05E-02,3.24E+00,1,6.10E-06
2.08E-02,3.20E+00,1,6.10E-06
2.10E-02,3.24E+00,1,6.10E-06
2.13E-02,3.24E+00,1,6.10E-06
2.15E-02,1.33E-01,1,6.10E-06
2.18E-02,3.24E+00,1,6.10E-06
2.20E-02,3.20E+00,1,6.10E-06
2.23E-02,3.24E+00,1,6.10E-06
2.25E-02,5.25E-02,1,6.10E-06
2.28E-02,3.24E+00,1,6.10E-06
2.30E-02,3.24E+00,1,6.10E-06
2.33E-02,3.21E+00,1,6.10E-06
2.35E-02,3.24E+00,1,6.10E-06
2.38E-02,6.75E-02,1,6.10E-06
2.40E-02,3.24E+00,1,6.10E-06
2.43E-02,3.24E+00,1,6.10E-06
2.45E-02,3.20E+00,1,6.10E-06
2.48E-02,2.73E-02,1,6.10E-06
2.50E-02,3.25E+00,1,6.10E-06
2.53E-02,3.20E+00,1,6.10E-06
2.55E-02,3.24E+00,1,6.10E-06
2.58E-02,3.19E+00,1,6.10E-06
2.60E-02,3.24E-02,1,6.10E-06
2.63E-02,3.20E+00,1,6.10E-06
2.65E-02,3.22E+00,1,6.10E-06
2.68E-02,3.23E+00,1,6.10E-06
2.70E-02,1.08E-01,1,6.10E-06
2.73E-02,3.24E+00,1,6.10E-06
2.75E-02,3.22E+00,1,6.10E-06
2.78E-02,3.20E+00,1,6.10E-06
2.80E-02,1.34E+00,1,6.10E-06
2.83E-02,3.13E+00,1,6.10E-06
2.85E-02,3.20E+00,1,6.10E-06
2.88E-02,3.22E+00,1,6.10E-06
2.90E-02,3.24E+00,1,6.10E-06
2.93E-02,6.75E-02,1,6.10E-06
2.95E-02,3.18E+00,1,6.10E-06
2.98E-02,3.22E+00,1,6.10E-06
3.00E-02,3.21E+00,1,6.10E-06
3.03E-02,6.25E-02,1,6.10E-06
3.05E-02,3.24E+00,1,6.10E-06
3.08E-02,3.20E+00,1,6.10E-06
3.10E-02,3.20E+00,1,6.10E-06
3.13E-02,3.20E+00,1,6.10E-06
3.15E-02,6.75E-02,1,6.10E-06
3.18E-02,3.18E+00,1,6.10E-06
3.20E-02,3.21E+00,1,6.10E-06
3.23E-02,3.24E+00,1,6.10E-06
3.25E-02,4.24E-02,1,6.10E-06
3.28E-02,3.20E+00,1,6.10E-06
3.30E-02,3.21E+00,1,6.10E-06
3.33E-02,3.20E+00,1,6.10E-06
3.35E-02,3.23E+00,1,6.10E-06
3.38E-02,4.24E-02,1,6.10E-06
3.40E-02,3.21E+00,1,6.10E-06
3.43E-02,3.20E+00,1,6.10E-06
3.45E-02,3.22E+00,1,6.10E-06
3.48E-02,6.75E-02,1,6.10E-06
3.50E-02,3.24E+00,1,6.10E-06
3.53E-02,3.24E+00,1,6.10E-06
3.55E-02,3.23E+00,1,6.10E-06
3.58E-02,3.19E+00,1,6.10E-06
3.60E-02,6.25E-02,1,6.10E-06
3.63E-02,3.20E+00,1,6.10E-06
3.65E-02,3.23E+00,1,6.10E-06
3.68E-02,3.20E+00,1,6.10E-06
3.70E-02,3.74E-02,1,6.10E-06
3.73E-02,3.24E+00,1,6.10E-06
3.75E-02,3.24E+00,1,6.10E-06
3.78E-02,3.18E+00,1,6.10E-06
3.80E-02,3.20E+00,1,6.10E-06
3.83E-02,3.20E+00,1,6.10E-06
3.85E-02,3.18E+00,1,6.10E-06
3.88E-02,3.20E+00,1,6.10E-06
3.90E-02,3.21E+00,1,6.10E-06
3.93E-02,2.23E-02,1,6.10E-06
3.95E-02,3.19E+00,1,6.10E-06
3.98E-02,3.23E+00,1,6.10E-06
4.00E-02,3.23E+00,1,6.10E-06
4.03E-02,6.25E-02,1,6.10E-06
4.05E-02,3.22E+00,1,6.10E-06
4.08E-02,3.24E+00,1,6.10E-06
4.10E-02,3.20E+00,1,6.10E-06
4.13E-02,3.17E+00,1,6.10E-06
4.15E-02,4.24E-02,1,6.10E-06
4.18E-02,3.23E+00,1,6.10E-06
4.20E-02,3.24E+00,1,6.10E-06
4.23E-02,3.21E+00,1,6.10E-06
4.25E-02,5.25E-02,1,6.10E-06
4.28E-02,3.20E+00,1,6.10E-06
4.30E-02,3.21E+00,1,6.10E-06
4.33E-02,3.21E+00,1,6.10E-06
4.35E-02,3.20E+00,1,6.10E-06
4.38E-02,2.73E-02,1,6.10E-06
4.40E-02,3.20E+00,1,6.10E-06
4.43E-02,3.20E+00,1,6.10E-06
4.45E-02,3.22E+00,1,6.10E-06
4.48E-02,2.73E-02,1,6.10E-06
4.50E-02,3.20E+00,1,6.10E-06
4.53E-02,3.20E+00,1,6.10E-06
4.55E-02,3.20E+00,1,6.10E-06
4.58E-02,3.20E+00,1,6.10E-06
4.60E-02,5.25E-01,1,6.10E-06
4.63E-02,3.21E+00,1,6.10E-06
4.65E-02,3.20E+00,1,6.10E-06
4.68E-02,3.23E+00,1,6.10E-06
4.70E-02,2.73E-02,1,6.10E-06
4.73E-02,3.20E+00,1,6.10E-06
4.75E-02,3.24E+00,1,6.10E-06
4.78E-02,3.23E+00,1,6.10E-06
4.80E-02,3.20E+00,1,6.10E-06
4.83E-02,3.20E+00,1,6.10E-06
4.85E-02,3.24E+00,1,6.10E-06
4.88E-02,3.20E+00,1,6.10E-06
4.90E-02,3.21E+00,1,6.10E-06
4.93E-02,-2.81E-03,1,6.10E-06
4.95E-02,3.20E+00,1,6.10E-06
4.98E-02,3.22E+00,1,6.10E-06
5.00E-02,3.21E+00,1,6.10E-06
5.03E-02,6.75E-02,1,6.10E-06
5.05E-02,3.24E+00,1,6.10E-06
5.08E-02,3.18E+00,1,6.10E-06
5.10E-02,3.24E+00,1,6.10E-06
5.13E-02,3.20E+00,1,6.10E-06
5.15E-02,2.73E-02,1,6.10E-06
5.18E-02,3.24E+00,1,6.10E-06
5.20E-02,3.21E+00,1,6.10E-06
5.23E-02,3.24E+00,1,6.10E-06
5.25E-02,2.73E-02,1,6.10E-06
5.28E-02,3.20E+00,1,6.10E-06
5.30E-02,3.21E+00,1,6.10E-06
5.33E-02,3.20E+00,1,6.10E-06
5.35E-02,3.23E+00,1,6.10E-06
5.38E-02,5.25E-02,1,6.10E-06
5.40E-02,3.24E+00,1,6.10E-06
5.43E-02,3.24E+00,1,6.10E-06
5.45E-02,3.20E+00,1,6.10E-06
5.48E-02,2.73E-02,1,6.10E-06
5.50E-02,3.20E+00,1,6.10E-06
5.53E-02,3.20E+00,1,6.10E-06
5.55E-02,3.20E+00,1,6.10E-06
5.58E-02,3.26E+00,1,6.10E-06
5.60E-02,3.22E+00,1,6.10E-06
5.63E-02,3.24E+00,1,6.10E-06
5.65E-02,3.20E+00,1,6.10E-06
5.68E-02,3.20E+00,1,6.10E-06
5.70E-02,2.73E-02,1,6.10E-06
5.73E-02,3.20E+00,1,6.10E-06
5.75E-02,3.20E+00,1,6.10E-06
5.78E-02,3.23E+00,1,6.10E-06
5.80E-02,3.20E+00,1,6.10E-06
5.83E-02,3.24E+00,1,6.10E-06
5.85E-02,3.22E+00,1,6.10E-06
5.88E-02,3.22E+00,1,6.10E-06
5.90E-02,3.20E+00,1,6.10E-06
5.93E-02,-1.29E-02,1,6.10E-06
5.95E-02,3.24E+00,1,6.10E-06
5.98E-02,3.24E+00,1,6.10E-06
6.00E-02,3.20E+00,1,6.10E-06
6.03E-02,9.77E-02,1,6.10E-06
6.05E-02,3.24E+00,1,6.10E-06
6.08E-02,3.24E+00,1,6.10E-06
6.10E-02,3.20E+00,1,6.10E-06
6.13E-02,3.17E+00,1,6.10E-06
6.15E-02,-1.29E-02,1,6.10E-06
6.18E-02,3.22E+00,1,6.10E-06
6.20E-02,3.21E+00,1,6.10E-06
6.23E-02,3.21E+00,1,6.10E-06
6.25E-02,-1.29E-02,1,6.10E-06
6.28E-02,3.23E+00,1,6.10E-06
6.30E-02,3.24E+00,1,6.10E-06
6.33E-02,3.20E+00,1,6.10E-06
6.35E-02,3.20E+00,1,6.10E-06
6.38E-02,1.87E+00,1,6.10E-06
6.40E-02,3.20E+00,1,6.10E-06
6.43E-02,3.20E+00,1,6.10E-06
6.45E-02,3.20E+00,1,6.10E-06
6.48E-02,1.23E-02,1,6.10E-06
6.50E-02,3.24E+00,1,6.10E-06
6.53E-02,3.20E+00,1,6.10E-06
6.55E-02,3.18E+00,1,6.10E-06
